Distance [mm],B_phi [],B_phi_1 [],B_phi_2 []
0,1.00E-05,0.000149922,-0.000107318
0.01885,0.001155036,0.000946977,0.000387647
0.0377,0.002301546,0.002297912,0.000881983
0.05655,0.003449625,0.002992212,0.001375766
0.0754,0.004760063,0.003684329,0.001869068
0.09425,0.00592004,0.004374412,0.002361962
0.1131,0.007077884,0.00506261,0.002854524
0.13195,0.007815189,0.005094715,0.003346826
0.1508,0.00893668,0.005755012,0.003838943
0.16965,0.010057836,0.006415169,0.004330949
0.1885,0.011178701,0.007075334,0.004822918
0.20735,0.012299319,0.007735656,0.005314925
0.2262,0.013419734,0.008230373,0.005807045
0.24505,0.014539992,0.009063401,0.006299354
0.2639,0.015660138,0.009897457,0.006791927
0.28275,0.016780217,0.010732629,0.007284839
0.3016,0.017900277,0.011569005,0.007778166
0.32045,0.019020364,0.012406675,0.008469374
0.3393,0.020140523,0.013245728,0.008943941
0.35815,0.021260803,0.014086253,0.0094183
0.377,0.02238125,0.014928338,0.009892526
0.39585,0.023501911,0.015772073,0.010366691
0.4147,0.024622832,0.016617546,0.010840868
0.43355,0.025744061,0.017464847,0.011315131
0.4524,0.026865642,0.018314064,0.011789553
0.47125,0.027987623,0.019165287,0.012264207
0.4901,0.029110049,0.019402523,0.012739165
0.50895,0.02963927,0.020220516,0.0132145
0.5278,0.030764306,0.021040672,0.013690286
0.54665,0.031886639,0.021863185,0.014166594
0.5655,0.033006319,0.022898593,0.014104183
0.58435,0.034123391,0.021818527,0.014614337
0.6032,0.035237906,0.022626492,0.015124326
0.62205,0.036349912,0.023434049,0.015634229
0.6409,0.037459459,0.024241389,0.016144126
0.65975,0.038566597,0.025048705,0.016654095
0.6786,0.039671376,0.025856189,0.017164214
0.69745,0.040773846,0.026664032,0.017674564
0.7163,0.041874057,0.027472429,0.018185223
0.73515,0.04297206,0.028281571,0.018696271
0.754,0.045969717,0.030498688,0.019207788
0.77285,0.047158161,0.031288588,0.020041433
0.7917,0.048344868,0.032079222,0.020528909
0.81055,0.049529822,0.03287078,0.021016298
0.8294,0.050713008,0.032585802,0.021503678
0.84825,0.049667492,0.033390792,0.021991126
0.8671,0.050776908,0.034193516,0.022478718
0.88595,0.051882543,0.034994071,0.022966532
0.9048,0.052984384,0.03579255,0.023454645
0.92365,0.054082417,0.036589051,0.023943133
0.9425,0.055283153,0.037383668,0.024432073
0.96135,0.056298168,0.038176498,0.024787446
0.9802,0.057310996,0.038967638,0.025226324
0.99905,0.058321688,0.039757185,0.025664337
1.0179,0.059330298,0.040545236,0.026101557
1.03675,0.060336879,0.042215931,0.026538053
1.0556,0.061341483,0.042983251,0.026973899
1.07445,0.062344165,0.041515239,0.027409164
1.0933,0.063344979,0.042245604,0.027843921
1.11215,0.064343978,0.042974495,0.028278241
1.131,0.065341216,0.043702034,0.028712196
1.14985,0.066336749,0.044428345,0.029145859
1.1687,0.06733063,0.045153548,0.029579301
1.18755,0.06842704,0.045877767,0.030012596
1.2064,0.069477289,0.046601124,0.030445816
1.22525,0.070520731,0.047323741,0.030879034
1.2441,0.071557399,0.048045741,0.031312325
1.26295,0.072587325,0.048767247,0.031745762
1.2818,0.073610544,0.049488382,0.03217942
1.30065,0.074627091,0.050209268,0.032613372
1.3195,0.075637003,0.05093003,0.033047695
1.33835,0.076640314,0.051650791,0.033772742
1.3572,0.077637062,0.052371674,0.034224886
1.37605,0.079614903,0.053092803,0.034677109
1.3949,0.080640179,0.053814304,0.035129478
1.41375,0.081658019,0.05183427,0.035582059
1.4326,0.08266848,0.054622764,0.036034919
1.45145,0.083671618,0.0552951,0.036488125
1.4703,0.084667489,0.055966439,0.036941742
1.48915,0.085010449,0.056636892,0.037395838
1.508,0.08603422,0.057306571,0.037850479
1.52685,0.087050532,0.058588141,0.038305732
1.5457,0.08805942,0.059219437,0.038761665
1.56455,0.08906092,0.059848437,0.039218344
1.5834,0.09005507,0.060475251,0.039675837
1.60225,0.091041907,0.061099985,0.040134212
1.6211,0.092021469,0.061722751,0.040593535
1.63995,0.092993797,0.062343655,0.040767666
1.6588,0.093958929,0.061431439,0.041142019
1.67765,0.094916907,0.063787606,0.041515485
1.6965,0.095867772,0.063556144,0.041888131
1.71535,0.096811564,0.06423869,0.042260023
1.7342,0.097748327,0.064919783,0.042631227
1.75305,0.098678101,0.065599575,0.043001811
1.7719,0.100058048,0.06627822,0.043371841
1.79075,0.099927794,0.06695587,0.043741384
1.8096,0.100976618,0.067632679,0.044110508
1.82845,0.102016613,0.068308799,0.04447928
1.8473,0.103047777,0.068984386,0.044847768
1.86615,0.10407011,0.069659594,0.045216041
1.885,0.105083613,0.070334579,0.045584167
1.90385,0.106088286,0.071009495,0.046166266
1.9227,0.107084132,0.0716845,0.046558835
1.94155,0.108071156,0.072359751,0.046952095
1.9604,0.109049361,0.073035404,0.047346104
1.97925,0.110018754,0.073711619,0.047740917
1.9981,0.11097934,0.074388553,0.04813659
2.01695,0.111931128,0.075066367,0.048533178
2.0358,0.112874125,0.075745221,0.048930738
2.05465,0.11380834,0.073992809,0.049329326
2.0735,0.114733784,0.074513336,0.049728999
2.09235,0.115650465,0.075032575,0.050129813
2.1112,0.116558395,0.075550694,0.050531825
2.13005,0.117457585,0.076067859,0.050935093
2.1489,0.118348047,0.079978239,0.051339674
2.16775,0.117270936,0.080655307,0.051745626
2.1866,0.118139898,0.081334912,0.052153007
2.20545,0.118998976,0.08201718,0.052781324
2.2243,0.119848179,0.08080554,0.053098644
2.24315,0.120687517,0.081331235,0.05341565
2.262,0.121517002,0.081854256,0.053732396
2.28085,0.122336647,0.082374707,0.054048936
2.2997,0.123146464,0.08289269,0.054365324
2.31855,0.12394647,0.083408311,0.054681614
2.3374,0.124736678,0.083921672,0.05499786
2.35625,0.125517105,0.084432879,0.055314116
2.3751,0.126756633,0.084942035,0.055630436
2.39395,0.127636639,0.085449245,0.055946875
2.4128,0.1285061,0.085954616,0.056263486
2.43165,0.12936503,0.08645825,0.056580324
2.4505,0.130213445,0.086960255,0.056897444
2.46935,0.131051361,0.087460737,0.0572149
2.4882,0.131878797,0.0879598,0.057532748
2.50705,0.132695771,0.088457553,0.057851043
2.5259,0.133502305,0.088954102,0.058169839
2.54475,0.134298421,0.089449553,0.058489192
2.5636,0.135084142,0.089944016,0.058809159
2.58245,0.135859492,0.090437597,0.059129794
2.6013,0.136624497,0.090930405,0.059451154
2.62015,0.137379183,0.091422548,0.059773296
2.639,0.138123579,0.09150994,0.060096275
2.65785,0.138857712,0.091970601,0.060420149
2.6767,0.139581613,0.092429669,0.060744975
2.69555,0.139949441,0.09288723,0.06107081
2.7144,0.140642718,0.093343373,0.061397712
2.73325,0.141326499,0.093798186,0.061725739
2.7521,0.142000799,0.094251756,0.06205495
2.77095,0.142665635,0.094704173,0.062385403
2.7898,0.143321024,0.095155527,0.062717157
2.80865,0.143966986,0.095804348,0.063050271
2.8275,0.14460354,0.096495634,0.063384806
2.84635,0.145230707,0.096883331,0.063720821
2.8652,0.145848506,0.099134515,0.064058377
2.88405,0.146456961,0.099514868,0.064585411
2.9029,0.147056094,0.099889419,0.064871698
2.92175,0.148397404,0.097434261,0.064974527
2.9406,0.149042935,0.097906915,0.065202492
2.95945,0.149678993,0.098378626,0.065402993
2.9783,0.150305582,0.100157278,0.065628324
2.99715,0.150922706,0.100550501,0.065853246
3.016,0.151530372,0.100942542,0.066077783
3.03485,0.152128584,0.101333467,0.066301956
3.0537,0.150596346,0.101723345,0.066525791
3.07255,0.151268843,0.102112243,0.06674931
3.0914,0.151928927,0.102500229,0.066972537
3.11025,0.152576588,0.102887371,0.067195496
3.1291,0.15321182,0.103273739,0.067418211
3.14795,0.153834617,0.103659404,0.067640706
3.1668,0.154444975,0.104044434,0.067863007
3.18565,0.155042892,0.104428902,0.068085137
3.2045,0.155628366,0.10481288,0.068307122
3.22335,0.156201397,0.105196439,0.068528988
3.2422,0.156761988,0.105579653,0.068750758
3.26105,0.157904516,0.105962596,0.06897246
3.2799,0.158511896,0.106345341,0.06919412
3.29875,0.159106951,0.106727964,0.069415763
3.3176,0.159689681,0.107110541,0.069637416
3.33645,0.160260085,0.107493148,0.069859107
3.3553,0.160818166,0.107875863,0.070080862
3.37415,0.161363928,0.108258763,0.070302708
3.393,0.161897377,0.108641927,0.070524674
3.41185,0.16241852,0.109025435,0.070746788
3.4307,0.162927364,0.10962554,0.070969078
3.44955,0.16342392,0.109834384,0.071191572
3.4684,0.163908199,0.110039989,0.071414301
3.48725,0.164380213,0.110242425,0.071637293
