Distance [mm],Br [],Br_1 [],Br_2 []
0,0.227908327,0.09277079,0.048041758
0.01885,0.227877237,0.092808115,0.047999296
0.0377,0.227835913,0.093041678,0.047956742
0.05655,0.22778439,0.092934582,0.047914103
0.0754,0.22778138,0.092827862,0.047871383
0.09425,0.227730855,0.09272154,0.047828588
0.1131,0.227667981,0.092615638,0.04778572
0.13195,0.228136225,0.092764849,0.047742782
0.1508,0.228141441,0.092759585,0.047699775
0.16965,0.228135846,0.092755059,0.0476567
0.1885,0.228119393,0.092751256,0.047613556
0.20735,0.228092036,0.092748162,0.047570341
0.2262,0.228053732,0.092958885,0.047527053
0.24505,0.228004444,0.093005042,0.047483688
0.2639,0.227944136,0.093048904,0.047440242
0.28275,0.227872777,0.093090435,0.047396709
0.3016,0.227790338,0.093129599,0.047353082
0.32045,0.227696794,0.093166358,0.047366616
0.3393,0.227592124,0.093200674,0.047351407
0.35815,0.22747631,0.093232509,0.047336078
0.377,0.227349336,0.093261821,0.047320615
0.39585,0.227211193,0.09328857,0.047305005
0.4147,0.227061871,0.093312715,0.047289233
0.43355,0.226901367,0.093334213,0.047273282
0.4524,0.22672968,0.093353021,0.047257136
0.47125,0.226546812,0.093369094,0.047240775
0.4901,0.226352769,0.095461027,0.047224179
0.50895,0.225998018,0.095446246,0.047207327
0.5278,0.22581581,0.09543482,0.047190198
0.54665,0.225621849,0.095426709,0.047172766
0.5655,0.225416108,0.095324118,0.04754719
0.58435,0.225198563,0.094392148,0.047465249
0.6032,0.224969197,0.094278253,0.047383797
0.62205,0.224727991,0.094167887,0.047302821
0.6409,0.224474935,0.094061029,0.047222307
0.65975,0.224210019,0.093957651,0.047142241
0.6786,0.223933238,0.093857728,0.047062605
0.69745,0.223644591,0.093761229,0.046983385
0.7163,0.223344079,0.093668122,0.04690456
0.73515,0.223031708,0.093578373,0.046826114
0.754,0.220219521,0.093586853,0.046748025
0.77285,0.219859322,0.093514222,0.046749515
0.7917,0.219486212,0.093445521,0.046676169
0.81055,0.219100197,0.093380703,0.046603785
0.8294,0.218701285,0.091381908,0.046532344
0.84825,0.218441801,0.091123299,0.046461826
0.8671,0.218082408,0.090862641,0.046392208
0.88595,0.21771231,0.090599925,0.046323468
0.9048,0.217331489,0.090335141,0.046255583
0.92365,0.216939931,0.09006828,0.046188528
0.9425,0.216763488,0.08979933,0.046122277
0.96135,0.216430005,0.089528279,0.045899771
0.9802,0.216085771,0.089255113,0.04576385
0.99905,0.215730739,0.088979817,0.045628058
1.0179,0.215364869,0.088702377,0.045492371
1.03675,0.214988123,0.088063499,0.045356766
1.0556,0.214600464,0.087570279,0.045221218
1.07445,0.214201863,0.086894349,0.045085701
1.0933,0.213792292,0.086668236,0.044950187
1.11215,0.213371726,0.086442844,0.044814649
1.131,0.212940146,0.086218141,0.044679055
1.14985,0.212497533,0.085994094,0.044543376
1.1687,0.212043875,0.085770669,0.04440758
1.18755,0.211493615,0.08554783,0.044271633
1.2064,0.210892711,0.085325541,0.044135501
1.22525,0.210282549,0.085103763,0.043999149
1.2441,0.209663132,0.084882458,0.043862541
1.26295,0.209034467,0.084661585,0.043725639
1.2818,0.208396563,0.084441101,0.043588404
1.30065,0.207749432,0.084220964,0.043450796
1.3195,0.20709309,0.084001131,0.043312776
1.33835,0.206427555,0.083781554,0.043087263
1.3572,0.205752846,0.083562189,0.04294789
1.37605,0.205680134,0.083342987,0.042808969
1.3949,0.204982987,0.083123898,0.042670465
1.41375,0.204274024,0.079349083,0.042532342
1.4326,0.203553259,0.083680414,0.042394562
1.45145,0.20282071,0.083378134,0.042257087
1.4703,0.202076399,0.083074147,0.042119879
1.48915,0.201489192,0.082768403,0.041982898
1.508,0.200796603,0.082460851,0.041846104
1.52685,0.200094037,0.082047594,0.041709454
1.5457,0.199381484,0.08174091,0.041572906
1.56455,0.198658939,0.081434681,0.041436418
1.5834,0.1979264,0.081128849,0.041299946
1.60225,0.197183866,0.080823356,0.041163444
1.6211,0.19643134,0.080518142,0.041026866
1.63995,0.195668828,0.080213148,0.040739815
1.6588,0.19489634,0.080192883,0.040556213
1.67765,0.194113887,0.077203224,0.040373107
1.6965,0.193321486,0.080808376,0.040190451
1.71535,0.192519154,0.080457745,0.0400082
1.7342,0.191706913,0.080109885,0.039826305
1.75305,0.190884787,0.079764742,0.039644719
1.7719,0.188815978,0.079422261,0.039463391
1.79075,0.190194669,0.079082387,0.039282272
1.8096,0.189354245,0.07874506,0.039101309
1.82845,0.18850282,0.078410221,0.03892045
1.8473,0.187640384,0.078077806,0.038739641
1.86615,0.186766931,0.077747751,0.038558826
1.885,0.185882461,0.077419991,0.038377951
1.90385,0.184986972,0.077094457,0.038057857
1.9227,0.184080469,0.076771079,0.037888893
1.94155,0.183162956,0.076449787,0.03772016
1.9604,0.182234444,0.076130506,0.0375516
1.97925,0.181294943,0.075813161,0.037383158
1.9981,0.180344469,0.075497676,0.037214777
2.01695,0.179383039,0.075183971,0.037046396
2.0358,0.178410673,0.074871966,0.036877958
2.05465,0.177427396,0.074205676,0.036709403
2.0735,0.176433233,0.07381351,0.03654067
2.09235,0.175428214,0.073425778,0.036371697
2.1112,0.174412372,0.073042426,0.036202422
2.13005,0.17338574,0.0726634,0.036032783
2.1489,0.172348359,0.071933839,0.035862715
2.16775,0.171952436,0.071721657,0.035692155
2.1866,0.170949802,0.07151203,0.035521037
2.20545,0.169939342,0.071304856,0.035380755
2.2243,0.168921064,0.069370734,0.035159423
2.24315,0.167894981,0.068921532,0.034939453
2.262,0.166861106,0.068474548,0.034720789
2.28085,0.165819455,0.068029728,0.034503373
2.2997,0.164770046,0.067587017,0.034287145
2.31855,0.163712901,0.067146357,0.034072046
2.3374,0.162648043,0.066707691,0.033858016
2.35625,0.161575496,0.066270958,0.033644992
2.3751,0.160843939,0.065836099,0.033432914
2.39395,0.159860711,0.065403052,0.033221719
2.4128,0.158868855,0.064971753,0.033011342
2.43165,0.157868352,0.064542139,0.03280172
2.4505,0.156859184,0.064114144,0.032592788
2.46935,0.155841338,0.063687702,0.032384479
2.4882,0.1548148,0.063262744,0.032176729
2.50705,0.153779561,0.062839202,0.031969469
2.5259,0.152735613,0.062417007,0.031762631
2.54475,0.151682951,0.061996086,0.031556148
2.5636,0.150621572,0.061576369,0.031349951
2.58245,0.149551475,0.061157781,0.031143968
2.6013,0.148472663,0.060740249,0.030938131
2.62015,0.14738514,0.060323697,0.030732368
2.639,0.146288912,0.058221188,0.030526608
2.65785,0.14518399,0.057734667,0.030320778
2.6767,0.144070384,0.057247237,0.030114805
2.69555,0.143450673,0.056758828,0.029908618
2.7144,0.14231689,0.05626937,0.029702141
2.73325,0.141176445,0.055778792,0.0294953
2.7521,0.140029342,0.055287023,0.029288021
2.77095,0.138875586,0.05479399,0.029080228
2.7898,0.137715184,0.054299622,0.028871846
2.80865,0.136548146,0.053469453,0.028662798
2.8275,0.135374484,0.053406489,0.028453008
2.84635,0.134194211,0.052886229,0.028242399
2.8652,0.133007343,0.057197442,0.028030894
2.88405,0.131813896,0.056539841,0.02813613
2.9029,0.13061389,0.055881171,0.027843212
2.92175,0.129176391,0.0552218,0.027555764
2.9406,0.127986089,0.054758346,0.027268258
2.95945,0.126789997,0.054293187,0.027027243
2.9783,0.125588118,0.050545623,0.026735284
2.99715,0.124380454,0.050059102,0.0264442
3.016,0.123167011,0.049573902,0.026153926
3.03485,0.121947796,0.049089925,0.025864396
3.0537,0.119853777,0.048607073,0.025575546
3.07255,0.118585998,0.048125244,0.025287307
3.0914,0.117313073,0.047644339,0.024999613
3.11025,0.116035017,0.047164254,0.024712396
3.1291,0.114751848,0.046684888,0.024425587
3.14795,0.113463582,0.046206136,0.024139118
3.1668,0.112170239,0.045727893,0.023852917
3.18565,0.110871839,0.045250053,0.023566916
3.2045,0.109568404,0.04477251,0.023281041
3.22335,0.108259956,0.044295157,0.022995223
3.2422,0.106946522,0.043817884,0.022709388
