Distance [mm],Bz [],Bz_1 [],Bz_2 []
0,0.180123854,0.153210448,0.09560808
0.01885,0.17997967,0.153245195,0.095609682
0.0377,0.179815968,0.153531645,0.095608388
0.05655,0.179632754,0.153548477,0.095604197
0.0754,0.181691378,0.153557329,0.09559711
0.09425,0.181642403,0.1535582,0.095587127
0.1131,0.181574384,0.153551091,0.095574248
0.13195,0.181803427,0.155473273,0.095558474
0.1508,0.181911245,0.155462647,0.095539806
0.16965,0.181998159,0.155442346,0.095518243
0.1885,0.182064165,0.155412371,0.095493788
0.20735,0.182109261,0.155372723,0.09546644
0.2262,0.182133445,0.155021148,0.095436202
0.24505,0.182136716,0.154934823,0.095403074
0.2639,0.182119074,0.15484096,0.095367058
0.28275,0.182080519,0.154739562,0.095328154
0.3016,0.182021054,0.154630634,0.095286366
0.32045,0.181940681,0.154514179,0.095219462
0.3393,0.181839402,0.154390203,0.095155303
0.35815,0.181717222,0.15425871,0.09508823
0.377,0.181574145,0.154119706,0.095018246
0.39585,0.181410178,0.153973196,0.094945352
0.4147,0.181225326,0.153819186,0.094869553
0.43355,0.181019597,0.153657682,0.09479085
0.4524,0.180793,0.153488689,0.094709248
0.47125,0.180545542,0.153312216,0.094624748
0.4901,0.180277234,0.153344966,0.094537355
0.50895,0.179817869,0.153199953,0.094447073
0.5278,0.179591679,0.153046852,0.094353904
0.54665,0.17934489,0.152885671,0.094257852
0.5655,0.179077515,0.152757416,0.095212885
0.58435,0.178789562,0.151669468,0.095067088
0.6032,0.178481043,0.151552658,0.09491898
0.62205,0.178151971,0.151428211,0.094768567
0.6409,0.177802358,0.151296132,0.094615854
0.65975,0.177432218,0.151156427,0.094460849
0.6786,0.177041566,0.1510091,0.094303556
0.69745,0.176630418,0.150854157,0.094143982
0.7163,0.176198789,0.150691606,0.093982134
0.73515,0.175746696,0.150521451,0.093818018
0.754,0.169978989,0.149882356,0.093651639
0.77285,0.16954901,0.149713323,0.093183005
0.7917,0.16909225,0.149536669,0.093015939
0.81055,0.168608728,0.149352401,0.092846541
0.8294,0.168098463,0.149379518,0.09267482
0.84825,0.170036346,0.149139808,0.092500781
0.8671,0.169526083,0.148892382,0.092324432
0.88595,0.168988738,0.148637249,0.092145779
0.9048,0.168424332,0.14837442,0.09196483
0.92365,0.167832888,0.148103905,0.091781592
0.9425,0.167853205,0.147825714,0.091596071
0.96135,0.167864662,0.147539859,0.091408619
0.9802,0.167852878,0.147246351,0.091208196
0.99905,0.167817854,0.146945202,0.091005463
